,Total,Healthy,Sick,Immune,N,Initial_Outbreak,TRansmission_Rate,Recovery_Time,Mortality_Rate,Policy,Exp_#,Time
0,10000,9015,985,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,0.0
1,10000,8975,1025,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,1.0
2,10000,8925,1075,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,2.0
3,10000,8889,1111,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,3.0
4,10000,8815,1185,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,4.0
5,10000,8743,1257,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,5.0
6,10000,8663,1337,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,6.0
7,9996,8579,1417,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,7.0
8,9993,8478,1515,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,8.0
9,9990,8357,1633,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,9.0
10,9980,8237,1743,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,10.0
11,9972,8106,1866,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,11.0
12,9961,7962,1999,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,12.0
13,9951,7808,2143,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,13.0
14,9930,7646,2284,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,14.0
15,9909,7478,2430,1,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,15.0
16,9901,7278,2619,4,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,16.0
17,9877,7075,2796,6,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,17.0
18,9855,6887,2959,9,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,18.0
19,9832,6682,3132,18,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,19.0
20,9807,6480,3300,27,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,20.0
21,9766,6255,3459,52,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,21.0
22,9746,6014,3656,76,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,22.0
23,9713,5780,3825,108,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,23.0
24,9689,5585,3951,153,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,24.0
25,9661,5377,4080,204,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,25.0
26,9629,5148,4218,263,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,26.0
27,9595,4932,4331,332,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,27.0
28,9573,4719,4451,403,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,28.0
29,9540,4483,4566,491,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,29.0
30,9495,4267,4626,602,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,30.0
31,9456,4027,4724,705,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,31.0
32,9424,3856,4751,817,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,32.0
33,9390,3643,4823,924,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,33.0
34,9363,3473,4817,1073,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,34.0
35,9333,3288,4820,1225,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,35.0
36,9287,3124,4787,1376,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,36.0
37,9250,2951,4766,1533,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,37.0
38,9208,2801,4725,1682,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,38.0
39,9163,2663,4658,1842,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,39.0
40,9108,2503,4607,1998,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,40.0
41,9073,2394,4505,2174,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,41.0
42,9030,2261,4422,2347,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,42.0
43,8988,2139,4335,2514,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,43.0
44,8950,2006,4282,2662,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,44.0
45,8912,1896,4183,2833,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,45.0
46,8881,1817,4081,2983,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,46.0
47,8841,1738,3975,3128,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,47.0
48,8798,1670,3842,3286,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,48.0
49,8758,1600,3735,3423,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,49.0
50,8726,1534,3625,3567,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,50.0
51,8711,1474,3513,3724,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,51.0
52,8672,1410,3386,3876,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,52.0
53,8642,1353,3263,4026,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,53.0
54,8617,1305,3145,4167,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,54.0
55,8587,1267,3008,4312,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,55.0
56,8562,1228,2909,4425,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,56.0
57,8537,1185,2817,4535,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,57.0
58,8509,1147,2713,4649,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,58.0
59,8482,1114,2592,4776,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,59.0
60,8458,1086,2465,4907,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,60.0
61,8433,1058,2361,5014,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,61.0
62,8406,1029,2262,5115,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,62.0
63,8385,1012,2134,5239,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,63.0
64,8366,992,2020,5354,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,64.0
65,8351,978,1926,5447,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,65.0
66,8330,958,1838,5534,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,66.0
67,8317,933,1770,5614,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,67.0
68,8305,919,1689,5697,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,68.0
69,8290,903,1613,5774,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,69.0
70,8278,883,1552,5843,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,70.0
71,8262,866,1486,5910,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,71.0
72,8249,848,1404,5997,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,72.0
73,8241,834,1329,6078,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,73.0
74,8233,826,1267,6140,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,74.0
75,8219,820,1206,6193,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,75.0
76,8203,808,1142,6253,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,76.0
77,8191,801,1064,6326,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,77.0
78,8183,794,1006,6383,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,78.0
79,8175,788,952,6435,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,79.0
80,8167,780,906,6481,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,80.0
81,8158,780,852,6526,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,81.0
82,8149,776,801,6572,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,82.0
83,8135,768,755,6612,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,83.0
84,8129,766,706,6657,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,84.0
85,8120,763,661,6696,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,85.0
86,8120,760,629,6731,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,86.0
87,8113,755,593,6765,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,87.0
88,8109,753,557,6799,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,88.0
89,8102,752,524,6826,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,89.0
90,8097,752,490,6855,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,90.0
91,8096,746,475,6875,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,91.0
92,8093,745,442,6906,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,92.0
93,8089,744,422,6923,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,93.0
94,8089,743,408,6938,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,94.0
95,8084,743,388,6953,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,95.0
