,Total,Healthy,Sick,Immune,N,Initial_Outbreak,TRansmission_Rate,Recovery_Time,Mortality_Rate,Policy,Exp_#,Time
0,10000,8999,1001,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,0.0
1,10000,8893,1107,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,1.0
2,10000,8756,1244,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,2.0
3,10000,8599,1401,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,3.0
4,10000,8424,1576,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,4.0
5,10000,8193,1807,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,5.0
6,10000,7909,2091,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,6.0
7,9999,7646,2353,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,7.0
8,9995,7326,2669,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,8.0
9,9990,6969,3021,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,9.0
10,9981,6568,3413,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,10.0
11,9968,6179,3789,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,11.0
12,9954,5761,4193,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,12.0
13,9932,5327,4605,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,13.0
14,9869,4852,5017,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,14.0
15,9557,4449,5107,1,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,15.0
16,9253,4039,5213,1,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,16.0
17,8899,3667,5230,2,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,17.0
18,8551,3327,5220,4,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,18.0
19,8212,3017,5185,10,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,19.0
20,7857,2722,5120,15,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,20.0
21,7538,2450,5065,23,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,21.0
22,7229,2189,5003,37,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,22.0
23,7029,1970,4999,60,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,23.0
24,6869,1786,5001,82,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,24.0
25,6722,1616,5000,106,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,25.0
26,6598,1451,4997,150,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,26.0
27,6477,1289,4999,189,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,27.0
28,6377,1134,4997,246,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,28.0
29,6325,1013,4984,328,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,29.0
30,6270,897,4976,397,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,30.0
31,6240,795,4967,478,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,31.0
32,6195,720,4903,572,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,32.0
33,6155,642,4859,654,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,33.0
34,6117,587,4780,750,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,34.0
35,6073,520,4707,846,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,35.0
36,6021,462,4608,951,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,36.0
37,5997,411,4517,1069,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,37.0
38,5960,370,4374,1216,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,38.0
39,5909,340,4201,1368,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,39.0
40,5875,302,4050,1523,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,40.0
41,5837,269,3871,1697,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,41.0
42,5794,243,3691,1860,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,42.0
43,5757,221,3496,2040,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,43.0
44,5736,211,3327,2198,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,44.0
45,5712,200,3126,2386,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,45.0
46,5687,184,2928,2575,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,46.0
47,5665,177,2722,2766,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,47.0
48,5637,173,2540,2924,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,48.0
49,5609,167,2363,3079,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,49.0
50,5587,162,2182,3243,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,50.0
51,5563,158,2013,3392,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,51.0
52,5542,156,1855,3531,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,52.0
53,5527,152,1724,3651,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,53.0
54,5511,148,1600,3763,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,54.0
55,5494,141,1483,3870,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,55.0
56,5488,140,1362,3986,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,56.0
57,5473,137,1250,4086,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,57.0
58,5463,135,1135,4193,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,58.0
59,5454,135,1039,4280,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,59.0
60,5442,132,943,4367,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,60.0
61,5437,130,870,4437,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,61.0
62,5428,129,793,4506,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,62.0
63,5415,128,738,4549,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,63.0
