,Total,Healthy,Sick,Immune,N,Initial_Outbreak,TRansmission_Rate,Recovery_Time,Mortality_Rate,Policy,Exp_#,Time
0,10000,9033,967,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,0.0
1,10000,8998,1002,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,1.0
2,10000,8966,1034,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,2.0
3,10000,8915,1085,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,3.0
4,10000,8887,1113,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,4.0
5,9999,8862,1137,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,5.0
6,9996,8823,1173,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,6.0
7,9995,8780,1215,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,7.0
8,9994,8743,1251,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,8.0
9,9992,8699,1293,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,9.0
10,9986,8657,1329,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,10.0
11,9981,8610,1371,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,11.0
12,9979,8559,1420,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,12.0
13,9976,8500,1473,3,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,13.0
14,9963,8438,1519,6,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,14.0
15,9948,8368,1569,11,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,15.0
16,9929,8303,1609,17,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,16.0
17,9915,8246,1647,22,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,17.0
18,9904,8181,1689,34,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,18.0
19,9889,8101,1740,48,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,19.0
20,9875,8028,1786,61,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,20.0
21,9856,7952,1825,79,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,21.0
22,9847,7864,1875,108,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,22.0
