,Total,Healthy,Sick,Immune,N,Initial_Outbreak,TRansmission_Rate,Recovery_Time,Mortality_Rate,Policy,Exp_#,Time
0,10000,8973,1027,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,0.0
1,10000,8910,1090,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,1.0
2,10000,8845,1155,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,2.0
3,9999,8786,1213,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,3.0
4,9998,8722,1276,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,4.0
5,9998,8635,1363,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,5.0
6,9995,8548,1447,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,6.0
7,9993,8453,1540,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,7.0
8,9991,8375,1616,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,8.0
9,9984,8238,1746,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,9.0
10,9978,8107,1871,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,10.0
11,9970,7937,2033,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,11.0
12,9960,7770,2190,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,12.0
13,9950,7587,2363,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,13.0
14,9939,7409,2530,0,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,14.0
15,9923,7218,2704,1,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,15.0
16,9909,7025,2877,7,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,16.0
17,9887,6802,3071,14,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,17.0
18,9864,6576,3267,21,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,18.0
19,9840,6308,3503,29,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,19.0
20,9820,6098,3674,48,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,20.0
21,9785,5859,3849,77,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,21.0
22,9758,5629,4024,105,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,22.0
23,9722,5424,4163,135,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,23.0
24,9684,5178,4330,176,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,24.0
25,9648,4949,4465,234,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,25.0
26,9622,4746,4564,312,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,26.0
27,9578,4531,4655,392,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,27.0
28,9547,4332,4732,483,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,28.0
29,9507,4126,4795,586,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,29.0
30,9474,3900,4870,704,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,30.0
31,9440,3690,4909,841,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,31.0
32,9411,3498,4925,988,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,32.0
33,9370,3324,4909,1137,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,33.0
34,9330,3109,4935,1286,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,34.0
35,9289,2945,4909,1435,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,35.0
36,9263,2775,4894,1594,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,36.0
37,9235,2624,4862,1749,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,37.0
38,9185,2483,4776,1926,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,38.0
39,9137,2358,4680,2099,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,39.0
40,9103,2255,4597,2251,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,40.0
41,9069,2118,4544,2407,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,41.0
42,9032,1985,4476,2571,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,42.0
43,8994,1898,4348,2748,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,43.0
44,8965,1810,4247,2908,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,44.0
45,8936,1718,4129,3089,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,45.0
46,8902,1631,4021,3250,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,46.0
47,8866,1535,3919,3412,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,47.0
48,8835,1455,3798,3582,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,48.0
49,8810,1406,3666,3738,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,49.0
50,8786,1347,3558,3881,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,50.0
51,8752,1299,3406,4047,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,51.0
52,8727,1243,3291,4193,10000.0,0.1,0.5,28.0,0.02,0.5,1.0,52.0
