,Total,Healthy,Sick,Immune,N,Initial_Outbreak,TRansmission_Rate,Recovery_Time,Mortality_Rate,Policy,Exp_#
0,10000,9013,987,0,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
1,10000,8960,1040,0,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
2,10000,8940,1060,0,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
3,10000,8929,1071,0,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
4,9999,8908,1091,0,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
5,9998,8892,1106,0,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
6,9995,8884,1111,0,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
7,9992,8871,1121,0,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
8,9987,8855,1132,0,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
9,9976,8850,1126,0,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
10,9972,8834,1138,0,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
11,9965,8819,1146,0,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
12,9958,8805,1153,0,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
13,9946,8782,1162,2,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
14,9923,8770,1148,5,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
15,9903,8750,1148,5,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
16,9879,8731,1141,7,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
17,9866,8721,1136,9,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
18,9846,8691,1143,12,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
19,9825,8672,1135,18,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
20,9799,8662,1115,22,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
21,9782,8650,1108,24,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
22,9765,8637,1100,28,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
23,9748,8618,1097,33,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
24,9728,8608,1084,36,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
25,9703,8594,1069,40,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
26,9679,8580,1055,44,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
27,9657,8570,1039,48,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
28,9634,8560,1017,57,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
29,9614,8552,999,63,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
30,9595,8536,989,70,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
31,9571,8515,976,80,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
32,9551,8505,961,85,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
33,9524,8490,945,89,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
34,9507,8479,932,96,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
35,9490,8469,914,107,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
36,9468,8456,892,120,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
37,9452,8453,871,128,10000.0,0.1,0.5,28.0,0.02,0.9,1.0
