,Total,Healthy,Sick,Immune,N,Initial_Outbreak,TRansmission_Rate,Recovery_Time,Mortality_Rate,Policy,Exp_#,Time
0,10000,9035,965,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,0.0
1,10000,8977,1023,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,1.0
2,10000,8948,1052,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,2.0
3,9999,8922,1077,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,3.0
4,9996,8896,1100,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,4.0
5,9996,8863,1133,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,5.0
6,9995,8830,1165,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,6.0
7,9993,8801,1192,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,7.0
8,9992,8766,1226,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,8.0
9,9991,8724,1267,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,9.0
10,9988,8680,1308,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,10.0
11,9980,8632,1348,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,11.0
12,9971,8573,1398,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,12.0
13,9965,8521,1444,0,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,13.0
14,9953,8474,1477,2,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,14.0
15,9936,8434,1497,5,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,15.0
16,9928,8372,1547,9,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,16.0
17,9915,8308,1594,13,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,17.0
18,9901,8252,1628,21,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,18.0
19,9890,8168,1688,34,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,19.0
20,9878,8103,1736,39,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,20.0
21,9866,8034,1779,53,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,21.0
22,9853,7991,1793,69,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,22.0
23,9833,7920,1821,92,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,23.0
24,9817,7867,1833,117,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,24.0
25,9800,7818,1838,144,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,25.0
26,9783,7747,1861,175,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,26.0
27,9765,7670,1880,215,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,27.0
28,9755,7606,1904,245,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,28.0
29,9738,7539,1930,269,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,29.0
30,9718,7465,1947,306,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,30.0
31,9698,7384,1964,350,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,31.0
32,9680,7316,1982,382,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,32.0
33,9665,7249,1996,420,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,33.0
34,9649,7193,1986,470,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,34.0
35,9633,7118,1989,526,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,35.0
36,9620,7060,1973,587,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,36.0
37,9604,7003,1965,636,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,37.0
38,9584,6937,1945,702,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,38.0
39,9565,6882,1923,760,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,39.0
40,9547,6830,1895,822,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,40.0
41,9529,6768,1889,872,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,41.0
42,9516,6719,1861,936,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,42.0
43,9503,6663,1843,997,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,43.0
44,9489,6600,1829,1060,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,44.0
45,9472,6554,1801,1117,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,45.0
46,9459,6508,1780,1171,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,46.0
47,9446,6477,1730,1239,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,47.0
48,9434,6433,1713,1288,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,48.0
49,9417,6394,1686,1337,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,49.0
50,9402,6358,1648,1396,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,50.0
51,9391,6331,1614,1446,10000.0,0.1,0.5,28.0,0.02,0.75,1.0,51.0
