,Total,Healthy,Sick,Immune,N,Initial_Outbreak,TRansmission_Rate,Recovery_Time,Mortality_Rate,Policy,Exp_#
0,10000,8990,1010,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
1,10000,8893,1107,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
2,10000,8769,1231,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
3,10000,8613,1387,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
4,9999,8438,1561,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
5,9998,8241,1757,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
6,9995,8016,1979,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
7,9990,7749,2241,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
8,9981,7447,2534,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
9,9966,7107,2859,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
10,9956,6744,3212,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
11,9933,6364,3569,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
12,9906,5965,3941,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
13,9862,5515,4347,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
14,9811,5073,4738,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
15,9757,4596,5161,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
16,9705,4157,5548,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
17,9645,3768,5877,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
18,9586,3372,6214,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
19,9503,3000,6503,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
20,9415,2623,6792,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
21,9319,2287,7032,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
