,Total,Healthy,Sick,Immune,N,Initial_Outbreak,TRansmission_Rate,Recovery_Time,Mortality_Rate,Policy,Exp_#
22,9228,1973,7255,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
23,9116,1707,7409,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
24,8990,1482,7508,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
25,8855,1271,7584,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
26,8739,1085,7654,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
27,8609,914,7694,1,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
28,8470,765,7702,3,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
29,8337,638,7691,8,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
30,8181,527,7635,19,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
31,8033,432,7563,38,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
32,7885,360,7468,57,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
33,7752,287,7376,89,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
34,7617,237,7247,133,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
35,7463,199,7086,178,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
36,7336,162,6927,247,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
37,7203,128,6751,324,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
38,7085,108,6558,419,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
39,6965,91,6344,530,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
40,6845,79,6110,656,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
41,6729,65,5869,795,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
42,6619,54,5647,918,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
43,6533,49,5396,1088,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
44,6412,45,5137,1230,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
45,6299,35,4864,1400,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
46,6198,31,4593,1574,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
47,6124,25,4364,1735,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
48,6048,22,4127,1899,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
49,5964,19,3878,2067,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
50,5897,17,3641,2239,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
51,5813,16,3396,2401,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
52,5741,15,3164,2562,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
53,5668,15,2936,2717,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
54,5607,14,2736,2857,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
55,5566,14,2573,2979,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
56,5522,13,2377,3132,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
57,5457,13,2189,3255,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
58,5417,13,2029,3375,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
59,5376,13,1878,3485,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
60,5336,13,1722,3601,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
61,5304,12,1589,3703,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
62,5276,12,1449,3815,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
63,5255,11,1335,3909,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
64,5225,11,1235,3979,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
65,5198,11,1122,4065,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
66,5173,11,1029,4133,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
67,5154,11,932,4211,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
68,5135,11,858,4266,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
69,5122,11,771,4340,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
70,5109,11,721,4377,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
71,5097,11,659,4427,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
72,5080,11,607,4462,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
73,5065,11,544,4510,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
74,5057,11,490,4556,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
75,5050,11,458,4581,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
76,5041,10,410,4621,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
77,5033,10,366,4657,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
78,5025,10,337,4678,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
79,5021,10,305,4706,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
80,5014,10,278,4726,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
81,5007,10,244,4753,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
82,5004,10,221,4773,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
83,5000,10,193,4797,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
84,5000,10,174,4816,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
85,4997,10,157,4830,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
86,4993,10,142,4841,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
87,4990,10,131,4849,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
88,4987,10,116,4861,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
89,4984,10,106,4868,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
90,4982,10,96,4876,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
91,4982,10,87,4885,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
92,4980,10,81,4889,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
93,4976,10,70,4896,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
94,4976,10,62,4904,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
95,4975,10,58,4907,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
96,4974,10,52,4912,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
97,4972,10,45,4917,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
98,4971,10,42,4919,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
99,4971,10,40,4921,10000.0,0.1,0.5,28.0,0.02,0.0,1.0
100,10000,9038,962,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
101,10000,8933,1067,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
102,10000,8831,1169,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
103,10000,8691,1309,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
104,10000,8545,1455,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
105,10000,8392,1608,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
106,10000,8195,1805,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
107,9997,7981,2016,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
108,9992,7721,2271,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
109,9983,7400,2583,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
110,9963,7039,2924,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
111,9947,6654,3293,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
112,9917,6216,3701,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
113,9885,5769,4116,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
114,9848,5320,4528,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
115,9801,4851,4950,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
116,9745,4407,5338,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
117,9689,3971,5718,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
118,9627,3577,6050,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
119,9560,3167,6393,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
120,9483,2805,6678,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
121,9406,2456,6950,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
122,9310,2096,7214,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
123,9201,1766,7435,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
124,9091,1509,7582,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
125,8950,1292,7658,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
126,8830,1066,7764,0,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
127,8685,883,7801,1,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
128,8555,711,7839,5,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
129,8399,576,7817,6,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
130,8258,460,7789,9,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
131,8113,368,7720,25,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
132,7979,297,7643,39,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
133,7841,231,7553,57,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
134,7699,179,7426,94,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
135,7552,138,7272,142,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
136,7424,110,7098,216,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
137,7279,91,6895,293,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
138,7133,70,6695,368,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
139,7027,54,6497,476,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
140,6917,50,6273,594,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
141,6806,36,6045,725,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
142,6688,31,5787,870,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
143,6563,26,5506,1031,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
144,6444,23,5243,1178,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
145,6354,19,4993,1342,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
146,6259,16,4727,1516,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
147,6166,13,4461,1692,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
148,6077,11,4201,1865,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
149,5996,11,3955,2030,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
150,5923,11,3714,2198,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
151,5853,9,3484,2360,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
152,5791,8,3250,2533,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
153,5741,8,3041,2692,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
154,5679,7,2828,2844,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
155,5610,7,2609,2994,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
156,5557,7,2421,3129,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
157,5504,7,2246,3251,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
158,5466,7,2086,3373,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
159,5427,7,1927,3493,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
160,5383,7,1763,3613,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
161,5346,7,1617,3722,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
162,5314,7,1496,3811,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
163,5283,7,1353,3923,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
164,5262,7,1235,4020,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
165,5237,7,1126,4104,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
166,5215,7,1028,4180,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
167,5197,6,946,4245,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
168,5184,6,862,4316,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
169,5171,6,784,4381,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
170,5157,6,716,4435,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
171,5144,6,640,4498,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
172,5129,6,571,4552,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
173,5122,6,514,4602,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
174,5117,6,466,4645,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
175,5111,6,426,4679,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
176,5103,6,382,4715,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
177,5092,6,339,4747,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
178,5086,6,308,4772,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
179,5079,6,275,4798,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
180,5074,6,238,4830,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
181,5069,6,208,4855,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
182,5065,6,186,4873,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
183,5060,6,164,4890,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
184,5056,6,144,4906,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
185,5050,6,125,4919,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
186,5047,6,109,4932,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
187,5046,6,103,4937,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
188,5045,6,90,4949,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
189,5043,6,82,4955,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
190,5041,6,75,4960,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
191,5039,6,66,4967,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
192,5036,6,57,4973,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
193,5036,6,51,4979,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
194,5036,6,45,4985,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
195,5036,6,38,4992,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
196,5036,6,34,4996,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
197,5036,6,32,4998,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
198,5034,6,23,5005,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
199,5033,6,21,5006,10000.0,0.1,0.5,28.0,0.02,0.0,2.0
200,10000,9057,943,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
201,10000,8968,1032,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
202,10000,8869,1131,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
203,10000,8720,1280,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
204,10000,8558,1442,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
205,10000,8343,1657,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
206,10000,8125,1875,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
207,9997,7879,2118,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
208,9992,7596,2396,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
209,9978,7306,2672,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
210,9958,6974,2984,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
211,9932,6637,3295,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
212,9900,6241,3659,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
213,9870,5797,4073,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
214,9835,5381,4454,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
215,9802,4964,4838,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
216,9743,4518,5225,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
217,9693,4103,5590,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
218,9621,3688,5933,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
219,9549,3329,6220,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
220,9462,2955,6507,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
221,9379,2600,6779,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
222,9276,2294,6982,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
223,9142,2000,7142,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
224,9027,1740,7287,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
225,8899,1505,7394,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
226,8784,1323,7461,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
227,8669,1139,7530,0,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
228,8535,979,7552,4,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
229,8416,830,7575,11,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
230,8293,716,7561,16,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
231,8166,595,7539,32,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
232,8019,509,7458,52,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
233,7872,438,7355,79,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
234,7732,364,7254,114,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
235,7622,296,7155,171,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
236,7475,235,7018,222,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
237,7343,194,6834,315,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
238,7201,158,6642,401,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
239,7059,130,6432,497,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
240,6945,111,6226,608,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
241,6826,91,6005,730,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
242,6718,76,5770,872,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
243,6605,63,5519,1023,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
244,6489,55,5267,1167,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
245,6406,47,5052,1307,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
246,6317,42,4807,1468,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
247,6236,38,4581,1617,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
248,6159,34,4336,1789,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
249,6079,32,4090,1957,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
250,5988,25,3839,2124,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
251,5915,23,3604,2288,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
252,5843,18,3373,2452,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
253,5766,18,3163,2585,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
254,5696,18,2972,2706,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
255,5647,15,2756,2876,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
256,5587,13,2553,3021,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
257,5539,13,2394,3132,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
258,5501,12,2217,3272,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
259,5463,11,2026,3426,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
260,5410,11,1864,3535,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
261,5381,11,1730,3640,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
262,5349,11,1609,3729,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
263,5322,10,1486,3826,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
264,5281,10,1353,3918,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
265,5257,9,1241,4007,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
266,5239,9,1148,4082,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
267,5212,9,1050,4153,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
268,5189,9,965,4215,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
269,5165,9,885,4271,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
270,5146,9,807,4330,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
271,5126,9,729,4388,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
272,5114,9,679,4426,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
273,5099,9,633,4457,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
274,5091,9,583,4499,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
275,5073,9,536,4528,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
276,5066,9,501,4556,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
277,5054,9,458,4587,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
278,5041,9,408,4624,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
279,5034,9,365,4660,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
280,5031,9,328,4694,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
281,5023,9,294,4720,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
282,5021,9,276,4736,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
283,5014,9,254,4751,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
284,5010,9,234,4767,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
285,5005,9,214,4782,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
286,4998,9,184,4805,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
287,4996,9,164,4823,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
288,4994,9,149,4836,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
289,4992,9,131,4852,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
290,4989,9,112,4868,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
291,4987,9,102,4876,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
292,4986,9,92,4885,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
293,4985,9,85,4891,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
294,4985,9,78,4898,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
295,4982,9,69,4904,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
296,4982,9,64,4909,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
297,4979,9,50,4920,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
298,4979,9,47,4923,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
299,4979,9,43,4927,10000.0,0.1,0.5,28.0,0.02,0.0,3.0
300,10000,8969,1031,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
301,10000,8878,1122,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
302,10000,8756,1244,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
303,10000,8626,1374,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
304,10000,8476,1524,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
305,9999,8294,1705,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
306,9996,8089,1907,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
307,9994,7863,2131,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
308,9992,7556,2436,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
309,9975,7244,2731,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
310,9961,6857,3104,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
311,9937,6473,3464,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
312,9906,6093,3813,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
313,9873,5696,4177,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
314,9829,5271,4558,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
315,9779,4813,4966,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
316,9711,4415,5296,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
317,9643,3970,5673,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
318,9566,3541,6025,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
319,9483,3137,6346,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
320,9404,2762,6642,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
321,9315,2396,6919,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
322,9222,2064,7158,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
323,9090,1772,7318,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
324,8979,1507,7472,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
325,8858,1291,7567,0,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
326,8745,1102,7642,1,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
327,8636,919,7716,1,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
328,8517,759,7755,3,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
329,8376,644,7724,8,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
330,8215,511,7691,13,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
331,8080,428,7627,25,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
332,7938,354,7545,39,10000.0,0.1,0.5,28.0,0.02,0.0,4.0
